,place_id,name,address,latitude,longitude,types,googleMapsUri,priceRange,place_overall_rating,userRatingCount,extract_date,author_name,user_review_rating,text,author_id,uniqueID,timestamp,state,main_category,sub_category,operating_hours_cleaned,Monday_hours,Tuesday_hours,Wednesday_hours,Thursday_hours,Friday_hours,Saturday_hours,Sunday_hours,clean_name,weak_label,is_consistent,vader_score
15317,ChIJvwENVmZFzDERdu3XVbaYCdY,Tree Steak House Sg Buloh,"Lot 3028, Jln Kuala Selangor, Kampung Paya Jaras, 47000 Sungai Buloh, Selangor, Malaysia",3.199964,101.5507722,"['establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=15423026307798658422,2.0,4.0,1231,2025-10-19,Euphonics,1,"The pricing are enthusiastic, not worth what you're getting. They like, give us your money, and here's the minimum amount of care we barely even have to put in our food. People are still gonna pay for it anyway. And oh, how about we take our existing menu, slice some onions, toss them into the already soggy chicken, and voila! A new menu item, with a little chef's hat icon next to it. Slap on a higher price of course.

Seriously, how are they even getting anything above 2 stars? People have low standards i guess. How can they manage to mess up even the simplest mushroom soup? It tasted like susu tepung. The drinks are at most, on par with pasar malam quality. No effort in presentation whatsoever.

I won't be this scathingly brutal if not for the fact that i know i can get better quality food with way lower prices. Price is secondary, the value I'm getting for what i paid is what i care about the most",116768535125387726249,ChIJvwENVmZFzDERdu3XVbaYCdY_116768535125387726249,2025-08-12 06:59:31,Selangor,restaurant,restaurant,Monday: 4:30-11:00PM | Tuesday: 4:30-11:00PM | Wednesday: 4:30-11:00PM | Thursday: 4:30-11:00PM | Friday: 4:30-11:00PM | Saturday: 4:30-11:00PM | Sunday: 4:30-11:00PM,4:30PM-11:00PM,4:30PM-11:00PM,4:30PM-11:00PM,4:30PM-11:00PM,4:30PM-11:00PM,4:30PM-11:00PM,4:30PM-11:00PM,Tree Steak House Sg Buloh,negative,False,0.742
15394,ChIJsyDSkLrDSjARSTPelqNUFQ4,Nasi Kandar Ali IPD,"247, Jalan Dato Keramat, Kampung Makam, 10150 George Town, Pulau Pinang, Malaysia",5.4119882,100.3216478,"['establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=1014810352629461833,2.0,4.0,857,2025-10-20,Mác Arminn,1,"Tapau rice+bendi+ikan goreng for RM13, that's fine. End up found the vege worm inside the lady finger(bendi). I decided to went back to shop, and asked to check all the bendi. Remove it asap from the serving area! They insist not to check the food and quickly just want to offer me a replacement instead of expendite the food and understand their customer frustration. I understand this kind of tepi jalan nasi kandar what I'm gonna expect. But this... for me it's unacceptable! The best part is they still continue selling tht lady finger , instead of remove all the batch. Wander how the quality check people (MPPP) approved 🤷🏽‍♂️",111452741246543093967,ChIJsyDSkLrDSjARSTPelqNUFQ4_111452741246543093967,2025-04-25 20:14:05,Penang,restaurant,restaurant,Monday: 12:00PM-4:00AM | Tuesday: 12:00PM-4:00AM | Wednesday: 12:00PM-4:00AM | Thursday: 12:00PM-4:00AM | Friday: 12:00PM-4:00AM | Saturday: 12:00PM-4:00AM | Sunday: 12:00PM-4:00AM,12:00PM-4:00AM,12:00PM-4:00AM,12:00PM-4:00AM,12:00PM-4:00AM,12:00PM-4:00AM,12:00PM-4:00AM,12:00PM-4:00AM,Nasi Kandar Ali IPD,negative,False,0.7639
15403,ChIJ7_MpOLPDSjARniyNVCbpi1c,Richard Rivalee Nyonya Cuisine Restaurant,"62 & 64, Lorong Macalister, George Town, 10400 George Town, Pulau Pinang, Malaysia",5.4161141,100.3283828,"['establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=6308392053899078814,2.0,4.3,768,2025-10-20,TK,2,"For the first time, I am very disappointed with the food. Especially their Chicken Pongteh was extremely salty. Despite telling them that, they brought it back with the same saltiness just added with more sauce (or water).

The Foo Yong Egg was oily and tasteless… what’s going on?

Fish was good but the chili sauce lack sweetness.

Drinks was great with the perfect amount of sweetness.

Friendly staff!

The last time I came in 2024, it was excellent… but now it’s just bad. Thank God they have a great staff apologizing to me and agreed to waived off the dish from the bill.",105849205473439713136,ChIJ7_MpOLPDSjARniyNVCbpi1c_105849205473439713136,2025-09-17 11:23:42,Penang,restaurant,restaurant,"Monday: 11:30AM-2:00PM, 6:00-9:00PM | Tuesday: Closed | Wednesday: 11:30AM-2:00PM, 6:00-9:00PM | Thursday: 11:30AM-2:00PM, 6:00-9:00PM | Friday: 11:30AM-2:00PM, 6:00-9:00PM | Saturday: 11:30AM-2:00PM, 6:00-9:00PM | Sunday: 11:30AM-2:00PM, 6:00-9:00PM","11:30AM-2:00PM, 6:00PM-9:00PM",Closed,"11:30AM-2:00PM, 6:00PM-9:00PM","11:30AM-2:00PM, 6:00PM-9:00PM","11:30AM-2:00PM, 6:00PM-9:00PM","11:30AM-2:00PM, 6:00PM-9:00PM","11:30AM-2:00PM, 6:00PM-9:00PM",Richard Rivalee Nyonya Cuisine Restaurant,negative,False,0.9857
15429,ChIJjynNe6fDSjARCb9NYyaZ76E,Bottega Penang,"76, Lebuh Muntri, George Town, 10200 George Town, Pulau Pinang, Malaysia",5.4203364,100.334783,"['establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=11668713549694091017,,4.5,757,2025-10-20,Ashi Ali,2,"Alot of babi here . I mean pork😆 Whoever babi lover can try here🐷. Lots of choices in their menu instead of other meat.
T pizza was really nice & Pasta eventho t waiter did not listen to what i requested that i dont want any clams inside my plate.That was very dissapointing. Ventilation quite bad as well as this place has open concepts cooking place. T time we was there, Its very noisy like a market. Nice place but sorry not to repeat.!",110033626336088341932,ChIJjynNe6fDSjARCb9NYyaZ76E_110033626336088341932,2025-05-24 09:01:57,Penang,restaurant,restaurant,Monday: 12:00-11:00PM | Tuesday: 12:00-11:00PM | Wednesday: 12:00-11:00PM | Thursday: 12:00-11:00PM | Friday: 12:00-11:30PM | Saturday: 12:00-11:30PM | Sunday: 12:00-11:00PM,12:00PM-11:00PM,12:00PM-11:00PM,12:00PM-11:00PM,12:00PM-11:00PM,12:00PM-11:30PM,12:00PM-11:30PM,12:00PM-11:00PM,Bottega Penang,negative,False,0.6711
15440,ChIJEx1THgTDSjARUFk0feDse1U,Medan Selera Just Food,"90, Persiaran Gurney, George Town, 10250 George Town, Pulau Pinang, Malaysia",5.4351137,100.3109729,"['establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=6159777364276697424,,4.1,1159,2025-10-20,ByJMN Reviews,1,"I went to the Gurney Paragon food court with my mum for a late lunch, but it was a huge letdown. There were hardly any proper vegetarian options, apart from a Malaysian dessert stall and a China Kitchen stall.

We tried the Egg Fried Rice with vegetables from China Kitchen (RM10 per plate). It came with a “soup” that tasted like salty water, and the rice itself had a strong stench of old eggs. It was soggy, tasted cheap and stale, and was honestly inedible - my mum refused to eat after one bite.
We left the food and told the stall to keep the plate. Definitely the biggest waste of money.

We also ordered drinks from Uncle Kopi, but they messed up the order and served overly sweet, thick kopi susu instead of kopi O. We had to order ice elsewhere and and add in it separately just to make it drinkable.

The only decent stall was the place that served Chee Cheong Fun which had a variety of light Malaysian desserts. Their Onde-Onde was actually delicious (I’ve attached the photo below for your reference as this was the only good thing for me there).

Overall, the food court was dark, had no nice vibe, and even the cleanliness was questionable (broom and cleaning supplies were left out in the open).

Honestly, wouldn’t recommend this place to anyone 👎🏼

Quality of food and the environment is much better at Gurney Plaza’s food court.",108141845722379610044,ChIJEx1THgTDSjARUFk0feDse1U_108141845722379610044,2025-09-18 16:49:20,Penang,restaurant,restaurant,Monday: 10:00AM-10:00PM | Tuesday: 10:00AM-10:00PM | Wednesday: 10:00AM-10:00PM | Thursday: 10:00AM-10:00PM | Friday: 10:00AM-10:00PM | Saturday: 10:00AM-10:00PM | Sunday: 10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,10:00AM-10:00PM,Medan Selera Just Food,negative,False,0.9719
15518,ChIJxwRb59TDSjARYHOuz1zApns,Hans Food Centre,"106B, Jln Tan Sri Teh Ewe Lim, Taman Sri Damai, 11600 George Town, Pulau Pinang, Malaysia",5.3928844,100.3063449,"['establishment', 'food', 'point_of_interest']",https://maps.google.com/?cid=8910020417652945760,,3.6,410,2025-10-20,Lionel Phuah,2,"Overall.. I came here for the Nasi Kandar, which I considered .. worth the visit. But the drinks... OMG.. I ordered a Cham Ice .. it tasted like they use longkang water... I seriously don't know its the condensed milk expired, or the tea / coffee powder .. it's beneath acceptable taste for a Penang Kopitiam operator",104179722297272755288,ChIJxwRb59TDSjARYHOuz1zApns_104179722297272755288,2025-05-19 05:13:48,Penang,restaurant,restaurant_general,Monday: 7:00AM-10:00PM | Tuesday: Closed | Wednesday: 7:00AM-10:00PM | Thursday: 7:00AM-10:00PM | Friday: 7:00AM-10:00PM | Saturday: 7:00AM-10:00PM | Sunday: 7:00AM-10:00PM,7:00AM-10:00PM,Closed,7:00AM-10:00PM,7:00AM-10:00PM,7:00AM-10:00PM,7:00AM-10:00PM,7:00AM-10:00PM,Hans Food Centre,negative,False,0.6808
15588,ChIJ3ct-kA3ISjAREoQeWBW8U-A,Pak Mat Western Cafe,"8, Jalan Industri Tangkas 2, Taman Industri Tangkas, 14000 Bukit Mertajam, Pulau Pinang, Malaysia",5.3232322,100.4509311,"['cafe', 'establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=16164470287421572114,2.0,4.0,17718,2025-10-20,23 NASHEERAH BINTI MOHD ALMI,2,"The workers/waiter was rude and dismissive of customers. The service is one of the worst I ever experienced. Will NEVER come back again😅😅😅. We expect better, alas it’s all marketing related hype. The lamb is gamey😆😆😆",106817709582253282585,ChIJ3ct-kA3ISjAREoQeWBW8U-A_106817709582253282585,2025-09-01 12:04:33,Penang,restaurant,cafe_bakery,Monday: 24 Hours | Tuesday: 24 Hours | Wednesday: 24 Hours | Thursday: 24 Hours | Friday: 24 Hours | Saturday: 24 Hours | Sunday: 24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,Pak Mat Western Cafe,negative,False,0.7717
15595,ChIJhdu5IgDDSjARNpVFkk-u2Wc,KyoChon Chicken @ Tanjung Pinang,"8-G-3, I-Santorini, Jalan Seri Tanjung Pinang 1, Seri Tanjung Pinang, 10470 Tanjung Tokong, Pulau Pinang, Malaysia",5.4543817,100.308026,"['establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=7483203912632472886,2.0,4.6,390,2025-10-20,Liya Zafirah,1,"Dear boss of Kyochon, is this how you teach your staff to treat customers? So rudeeeeee! On Sunday (5 October 2025) around 8:30 p.m, the Malay cashier, tall girl.  Her way of talking and facial expression were super disrespectful. Honestly, it pissed me off. Please do something about your customer service. Rasa nak lempangggg tauu staff you tadi. Biadap! One more thing, i tak jadi order sebab cara interact dengan customer tu sumpah haukk!

And this isn’t the first issue, there was also a previous incident where the order given was completely different from what was placed.",109268047309620359482,ChIJhdu5IgDDSjARNpVFkk-u2Wc_109268047309620359482,2025-10-06 03:51:53,Penang,restaurant,restaurant,Monday: 11:00AM-10:00PM | Tuesday: 11:00AM-10:00PM | Wednesday: 11:00AM-10:00PM | Thursday: 11:00AM-10:00PM | Friday: 11:00AM-10:00PM | Saturday: 11:00AM-10:00PM | Sunday: 11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,KyoChon Chicken Tanjung Pinang,negative,False,0.88
15617,ChIJ34hA8gDDSjARPlkHnpxsF7k,Restoran Mohamed Raffee Nasi Kandar,"295-A, Jalan Burma, Pulau Tikus, 10350 George Town, Pulau Pinang, Malaysia",5.4302639,100.3127466,"['establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=13337248241402992958,2.0,4.2,5387,2025-10-20,Kishur offixial,2,"⭐ Overall Rating: 2/5

I tried the food here and honestly was disappointed. The taukuang lacked the fried taste and felt raw, the chicken was less marinated and tasted bland, and the kuah was watery with very little flavour. The only items I enjoyed were the cabbage and boiled egg – those were decent.

On the positive side, the Teh O Ais was refreshing and nice. The total came to RM16 (food + drink), which I feel is not worth it considering the quality.

📌 Breakdown:

Taste: ⭐⭐☆☆☆

Service: ⭐⭐⭐☆☆

Value for Money: ⭐⭐☆☆☆

Overall, the meal didn’t live up to expectations, and I wouldn’t recommend it for the price.",108289177425199771557,ChIJ34hA8gDDSjARPlkHnpxsF7k_108289177425199771557,2025-09-16 09:17:59,Penang,restaurant,restaurant,Monday: 7:00AM-12:30AM | Tuesday: 7:00AM-12:30AM | Wednesday: 7:00AM-12:30AM | Thursday: 7:00AM-12:30AM | Friday: 7:00AM-12:30AM | Saturday: 7:00AM-12:30AM | Sunday: 7:00AM-12:30AM,7:00AM-12:30AM,7:00AM-12:30AM,7:00AM-12:30AM,7:00AM-12:30AM,7:00AM-12:30AM,7:00AM-12:30AM,7:00AM-12:30AM,Restoran Mohamed Raffee Nasi Kandar,negative,False,0.9158
15645,ChIJU-VD23HDSjAR2Ho05h-i0AQ,Coco Island Street Food,"104, Persiaran Gurney, 10250 George Town, Pulau Pinang, Malaysia",5.434298,100.3147,"['establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=346955429197413080,2.0,4.0,1182,2025-10-20,alex cheong,2,"Coco Island Food Court is one of those places that draws both locals and tourists, thanks to its convenient location near popular attractions. The atmosphere feels lively and open, with a mix of stalls offering local and international cuisines. However, while the selection looks appealing at first glance, the overall quality varies quite a bit from stall to stall.

One of the highlights for me was the fresh coconut water. It’s incredibly refreshing, especially on a hot day, and has that distinct pandan-like aroma that gives it a naturally sweet and fragrant twist — something quite special compared to the usual coconuts you find elsewhere. On the other hand, the stall serving Chinese food was quite disappointing. The dishes lacked seasoning and depth of flavor, coming across as bland and uninspired. It felt like a missed opportunity, considering how flavorful Chinese cuisine can be when done right.

The fish and chips, however, were surprisingly decent. The fish was crispy on the outside, flaky on the inside, and paired well with the tartar sauce. It’s a safe option if you’re unsure of what to try. That said, prices here are definitely on the higher side — likely due to the tourist traffic in the area. You’re paying as much for the convenience and atmosphere as for the food itself. Overall, Coco Island Food Court offers a pleasant spot to relax and enjoy a drink, but food quality can be hit or miss depending on your choice.",115322682359105118221,ChIJU-VD23HDSjAR2Ho05h-i0AQ_115322682359105118221,2025-10-04 08:55:26,Penang,restaurant,restaurant,Monday: 6:00AM-12:00AM | Tuesday: 6:00AM-12:00AM | Wednesday: 6:00AM-12:00AM | Thursday: 6:00AM-12:00AM | Friday: 6:00AM-12:00AM | Saturday: 6:00AM-12:00AM | Sunday: 6:00AM-12:00AM,6:00AM-12:00AM,6:00AM-12:00AM,6:00AM-12:00AM,6:00AM-12:00AM,6:00AM-12:00AM,6:00AM-12:00AM,6:00AM-12:00AM,Coco Island Street Food,negative,False,0.9468
15695,ChIJ5TdUPZjDSjAR48Q4RE5olgs,Laksalicious,"117-117A, Jalan Hutton, George Town, 10050 George Town, Pulau Pinang, Malaysia",5.4200844,100.3300879,"['establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=834969466285114595,2.0,4.5,1304,2025-10-20,KM SY,2,"As assam laksa lovers, we’ve tried many versions across Penang, and Laksalicious caught our attention through Google, especially with its Michelin recognition. Naturally, we decided to give it a try.

Unfortunately, it didn’t quite suit our taste. The thick noodles used were not what we expected, not really chewy like we had or supposed to be.The soup or broth itself felt rather diluted compared to the rich, tangy flavour we usually enjoy in assam laksa. It doesn’t have the sourness kick. On a brighter note, their signature Laksa Mojito was quite unique and refreshing, though the paper straw provided turned soggy halfway, making it difficult to finish the drink comfortably.

We also tried the Nyonya Sago Gula Malacca, but it was rather underwhelming. The sago itself was bland, and since the gula malacca could not be absorbed or properly dipped through the sago, the overall flavour was lacking. A touch of sweetness in the sago itself might have balanced it better.

Service-wise, our experience could have been better. We arrived around 11.20am, but no staff came forward to offer us a seat or provide chairs while waiting. Standing outside under the hot afternoon sun was not the most pleasant start to our meal.",100640626647683556278,ChIJ5TdUPZjDSjAR48Q4RE5olgs_100640626647683556278,2025-08-16 23:37:38,Penang,restaurant,restaurant,Monday: Closed | Tuesday: 11:30AM-7:00PM | Wednesday: 11:30AM-7:00PM | Thursday: 11:30AM-7:00PM | Friday: 11:30AM-7:00PM | Saturday: 11:30AM-7:00PM | Sunday: 11:30AM-7:00PM,Closed,11:30AM-7:00PM,11:30AM-7:00PM,11:30AM-7:00PM,11:30AM-7:00PM,11:30AM-7:00PM,11:30AM-7:00PM,Laksalicious,negative,False,0.8889
15706,ChIJyxVelRfDSjAR5Mvaa7XLF2I,Double Knott Cafe,"90, Lebuh Gereja, George Town, 10200 George Town, Pulau Pinang, Malaysia",5.419108,100.3396936,"['establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=7068342120240303076,2.0,4.7,1941,2025-10-20,Pansy Kwan,1,"There's huge room for improvement for food. The laksa spaghetti is too briny like you're directly intaking salt. And the chicken carbonara is bland. It's just like plain cream pasta with nothing related to ordinary carbonara. Chicken itself is salty though. I hope that our experience was just an exceptional case.

The service is relatively satisfactory. But it's definitely not worthy to spend RM50 pp for this place.",100335339128680093352,ChIJyxVelRfDSjAR5Mvaa7XLF2I_100335339128680093352,2025-10-04 15:53:10,Penang,restaurant,restaurant,Monday: 12:00-11:00PM | Tuesday: 12:00-11:00PM | Wednesday: Closed | Thursday: 12:00-11:00PM | Friday: 3:00-11:00PM | Saturday: 12:00-11:00PM | Sunday: 12:00-11:00PM,12:00PM-11:00PM,12:00PM-11:00PM,Closed,12:00PM-11:00PM,3:00PM-11:00PM,12:00PM-11:00PM,12:00PM-11:00PM,Double Knott Cafe,negative,False,0.8069
15713,ChIJlV9O3PnASjARmjf8KRgSdog,Bibimbowl Korean Restaurant,"110-1-15, Summerton, Persiaran Bayan Indah, 11900 Bayan Lepas, Pulau Pinang, Malaysia",5.33881179999999,100.3087846,"['establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=9833066731402966938,,4.2,336,2025-10-20,York Meng Lau,1,"INSECT FOUND IN SIDE DISHES 🚨

As a frequent visitor who has always appreciated your food and service, I was extremely disappointed to find an insect inside side dishes that came with my “takeaway” kimchi fried rice.

Not only affected my dining experience but also raised concerns about the hygiene and quality standards maintained at your restaurant. As someone who has consistently chosen your place over others, this experience was both surprising and disheartening.

I believe that every customer deserves to dine with peace of mind, knowing that the food served is safe and prepared under strict hygiene standards. I trust that you share this belief and hope that you take immediate action to investigate this matter thoroughly.

I would appreciate it if you could provide feedback on the actions taken to ensure this does not happen again. Additionally, any form of acknowledgment or gesture to restore my confidence in your establishment would be greatly appreciated.

I look forward to your prompt response and am hopeful that you will handle this matter with the seriousness it deserves.",115664979816325056638,ChIJlV9O3PnASjARmjf8KRgSdog_115664979816325056638,2025-02-19 11:30:22,Penang,restaurant,restaurant,Monday: 11:00AM-9:00PM | Tuesday: 11:00AM-9:00PM | Wednesday: 11:00AM-9:00PM | Thursday: 11:00AM-9:00PM | Friday: 11:00AM-9:00PM | Saturday: 11:00AM-9:00PM | Sunday: 11:00AM-9:00PM,11:00AM-9:00PM,11:00AM-9:00PM,11:00AM-9:00PM,11:00AM-9:00PM,11:00AM-9:00PM,11:00AM-9:00PM,11:00AM-9:00PM,Bibimbowl Korean Restaurant,negative,False,0.9933
15748,ChIJ_xoBso_DSjARagJOKgWVb4k,Woodlands Vegetarian Restaurant,"60, Lebuh Penang, George Town, 10200 George Town, Pulau Pinang, Malaysia",5.41800069999999,100.3405533,"['establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=9903297955028140650,2.0,4.1,2108,2025-10-20,Sarawanan Krishnan (Saran Kesnin),2,"Super slow service and it takes them almost 45 min for the food to be served but their 'Known' customers gets their food almost immediately 🤔. All 3 side  dishes we ordered tasted almost the same and the counter staff is not friendly. Not sure about the hype but it's not worth the price we paid. It's very seldom I give low ratings but this shop needs to buck up.  their service and food quality ASAP !!!

* Their Vadai was soft and delicious plus their filter coffee was nice. (The 2 star is for that 😊)",103385934941231653317,ChIJ_xoBso_DSjARagJOKgWVb4k_103385934941231653317,2025-10-02 15:19:58,Penang,restaurant,restaurant,Monday: 8:30AM-9:00PM | Tuesday: 8:30AM-9:00PM | Wednesday: 8:30AM-9:00PM | Thursday: 8:30AM-10:00PM | Friday: 8:30AM-9:00PM | Saturday: 8:30AM-9:00PM | Sunday: 8:30AM-9:00PM,8:30AM-9:00PM,8:30AM-9:00PM,8:30AM-9:00PM,8:30AM-10:00PM,8:30AM-9:00PM,8:30AM-9:00PM,8:30AM-9:00PM,Woodlands Vegetarian Restaurant,negative,False,0.9634
15804,ChIJQySoKCHDSjAR9E0CEmweCGg,Fire By Shankar,"3A-G-19, Straits Quay, Jalan Seri Tg Pinang, Tanjung Tokong, 10470 Tanjung Tokong, Pulau Pinang, Malaysia",5.4579666,100.3134398,"['establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=7496275029265632756,,4.8,2847,2025-10-20,Shanthini Vijayan,1,"Ordered the famous Mutton Varuval Fried Rice after seeing all the good reviews, but honestly, either they were exaggerating, or they only left good reviews to get the free dessert. 😤

The fried rice was burnt - literally tasted like charred rice - and the mutton? SOOOO salty. 😭The Chicken 65 was just average and again, way too salty.

People keep saying it’s amazing when the owner cooks. But come on, a proper restaurant should maintain consistent quality no matter who is in the kitchen. It’s ridiculous that hype is built around one person’s presence - what about all the other days customers walk in?

I’m honestly mindblown how this place gets so much hype. Drove in from another state just to try it, and left disappointed, frustrated, and wondering if I wasted my time and money. (FYI, ONE mutton fried rice , ONE small plate of chicken 65 & TWO lime juice, cost us RM97 - go figure!)

HOWEVER…as for the service… the waiters were polite and attentive.",109178587788192790817,ChIJQySoKCHDSjAR9E0CEmweCGg_109178587788192790817,2025-09-25 06:54:59,Penang,restaurant,restaurant,"Monday: Closed | Tuesday: 12:00-3:00PM, 5:30-11:00PM | Wednesday: 12:00-3:00PM, 5:30-11:00PM | Thursday: 12:00-3:00PM, 5:30-11:00PM | Friday: 12:00-3:00PM, 5:30-11:00PM | Saturday: 12:00-3:00PM, 5:30-11:00PM | Sunday: 12:00-3:00PM, 5:30-11:00PM",Closed,"12:00PM-3:00PM, 5:30PM-11:00PM","12:00PM-3:00PM, 5:30PM-11:00PM","12:00PM-3:00PM, 5:30PM-11:00PM","12:00PM-3:00PM, 5:30PM-11:00PM","12:00PM-3:00PM, 5:30PM-11:00PM","12:00PM-3:00PM, 5:30PM-11:00PM",Fire By Shankar,negative,False,0.8418
15883,ChIJyxHa15HDSjARQnGqLPh7nQY,Restoran Tajuddin Hussain,"45-63, Lebuh Queen, George Town, 10200 George Town, Pulau Pinang, Malaysia",5.417197,100.3385867,"['establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=476673441402614082,2.0,4.3,1761,2025-10-20,Naufal Nasaruddin,4,Ayam Ros is goooood. Paired well with the briyani. The other kuah I didn't like so much l. I was full when I ate it and still finished a plate. Need to come again when my stomach is empty tbh. Didn't have cobis or telur masin when I came unfortunately :( will be back fo sho,115825726208545065905,ChIJyxHa15HDSjARQnGqLPh7nQY_115825726208545065905,2025-04-09 05:27:24,Penang,restaurant,restaurant,"Monday: 11:00AM-3:30PM, 6:30-10:00PM | Tuesday: 11:00AM-3:30PM, 6:30-10:00PM | Wednesday: 11:00AM-3:30PM, 6:30-10:00PM | Thursday: 11:00AM-3:30PM, 6:30-10:00PM | Friday: 11:00AM-3:30PM, 6:30-10:00PM | Saturday: 11:00AM-3:30PM, 6:30-10:00PM | Sunday: Closed","11:00AM-3:30PM, 6:30PM-10:00PM","11:00AM-3:30PM, 6:30PM-10:00PM","11:00AM-3:30PM, 6:30PM-10:00PM","11:00AM-3:30PM, 6:30PM-10:00PM","11:00AM-3:30PM, 6:30PM-10:00PM","11:00AM-3:30PM, 6:30PM-10:00PM",Closed,Restoran Tajuddin Hussain,positive,False,-0.7278
15937,ChIJcWxrzpXDSjARnHbeJyLjhto,Top View Restaurant & Lounge,"Komtar Level 68, No 1, Komtar, Jln Penang, 10000 George Town, Pulau Pinang, Malaysia",5.4145872,100.3297474,"['establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=15746522882984801948,,4.1,794,2025-10-20,YS Cheng,1,"The worst experience in Penang on food 👎

Originally planned to have a very best dinner prior to our flight in the midnight.  It was so much disappointed on the two dishes of grilled seafood and grilled america meat platter when the price is more than RM140 per dishes.

We tried to express our bad experience to the waitress but however we got even no response from the restaurant staff

The overall trip in Penang is excellent place, but definitely not including the TOPVIEW",105576818120674272321,ChIJcWxrzpXDSjARnHbeJyLjhto_105576818120674272321,2024-11-28 09:38:00,Penang,restaurant,restaurant,Monday: 11:00AM-10:00PM | Tuesday: 11:00AM-7:00PM | Wednesday: 11:00AM-10:00PM | Thursday: 11:00AM-10:00PM | Friday: 11:00AM-10:00PM | Saturday: 11:00AM-10:00PM | Sunday: 11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-7:00PM,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-10:00PM,Top View Restaurant & Lounge,negative,False,0.551
15974,ChIJY9OIWLDDSjARTG_S4gqPh-g,Annalakshmi Penang - Temple of Fine Arts,"1, Lebuhraya Babington, 10450 George Town, Pulau Pinang, Malaysia",5.4182212,100.314202,"['establishment', 'food', 'point_of_interest', 'restaurant']",https://maps.google.com/?cid=16755518215573106508,1.0,4.5,461,2025-10-20,MF SN,1,"The vegetarian food here is actually tasteless, bland and more expensive than you expect it to be in such a place.
A lady will ask you about the drinks (tea or milk or else) but the price they charge is humongous.
The vegetarian food is also more expensive than any other Indian restaurant elsewhere.

Only the ambiance is serene and peaceful.

Last time the payment was in the form of donation of as much as you can donate. Now it’s a fixed price (more business like) with a set menu.

But that old sense of charity and service to divine is no more.",103487373230372307709,ChIJY9OIWLDDSjARTG_S4gqPh-g_103487373230372307709,2025-09-03 07:58:28,Penang,restaurant,restaurant,Monday: Closed | Tuesday: 11:30AM-2:30PM | Wednesday: 11:30AM-2:30PM | Thursday: 11:30AM-2:30PM | Friday: 11:30AM-2:30PM | Saturday: 11:30AM-2:30PM | Sunday: 11:30AM-2:30PM,Closed,11:30AM-2:30PM,11:30AM-2:30PM,11:30AM-2:30PM,11:30AM-2:30PM,11:30AM-2:30PM,11:30AM-2:30PM,Annalakshmi Penang - Temple of Fine Arts,negative,False,0.9626
